From	To
P34111	4932.YAL001C
P10591	4932.YAL005C
P39704	4932.YAL007C
P18411	4932.YAL008W
P18409	4932.YAL010C
P31376	4932.YAL011W
P31383	4932.YAL016W
P31374	4932.YAL017W
P31380	4932.YAL019W
P31384	4932.YAL021C
P31381	4932.YAL022C
P31382	4932.YAL023C
P07866	4932.YAL024C
P39524	4932.YAL026C
P39735	4932.YAL027W
P39732	4932.YAL031C
P28004	4932.YAL032C
P28005	4932.YAL033W
P39731	4932.YAL034W-A
P39730	4932.YAL035W
P39729	4932.YAL036C
P06182	4932.YAL039C
P11433	4932.YAL041W
P39724	4932.YAL046C
P39723	4932.YAL047C
P39721	4932.YAL049C
P39719	4932.YAL053W
Q01574	4932.YAL054C
P39718	4932.YAL055W
P27825	4932.YAL058W
P39715	4932.YAL059W
P39714	4932.YAL060W
Q05359	4932.YAR002C-A
P39705	4932.YAR002W
P39706	4932.YAR003W
P22336	4932.YAR007C
P27637	4932.YAR014C
P27616	4932.YAR015W
P27636	4932.YAR019C
P39548	4932.YAR028W
P39551	4932.YAR031W
P35842	4932.YAR071W
P35195	4932.YBL001C
P02294	4932.YBL002W
P04912	4932.YBL003C
P33200	4932.YBL005W
Q12266	4932.YBL005W-A
P32790	4932.YBL007C
P32479	4932.YBL008W
Q3E821	4932.YBL008W-A
P32788	4932.YBL010C
P32784	4932.YBL011W
P32786	4932.YBL014C
P32316	4932.YBL015W
P16892	4932.YBL016W
P32319	4932.YBL017C
P38208	4932.YBL018C
P38207	4932.YBL019W
P13434	4932.YBL021C
P29469	4932.YBL023C
P38205	4932.YBL024W
P38204	4932.YBL025W
P38203	4932.YBL026W
P38202	4932.YBL028C
Q3E756	4932.YBL029C-A
P38201	4932.YBL029W
P38199	4932.YBL032W
P38066	4932.YBL033C
P38198	4932.YBL034C
P38121	4932.YBL035C
P38197	4932.YBL036C
P38065	4932.YBL037W
P38064	4932.YBL038W
P28274	4932.YBL039C
P18414	4932.YBL040C
P38196	4932.YBL042C
P07256	4932.YBL045C
P38193	4932.YBL046W
P34216	4932.YBL047C
P34217	4932.YBL051C
P34218	4932.YBL052C
P34219	4932.YBL054W
P34220	4932.YBL055C
P34221	4932.YBL056W
P34222	4932.YBL057C
P34223	4932.YBL058W
Q3E7A4	4932.YBL059C-A
P34224	4932.YBL059W
P34225	4932.YBL060W
P34226	4932.YBL061C
P34227	4932.YBL064C
P38187	4932.YBL067C
P38063	4932.YBL068W
P35183	4932.YBL069W
P32357	4932.YBL074C
P09435	4932.YBL075C
P09436	4932.YBL076C
P38182	4932.YBL078C
P38181	4932.YBL079W
P38179	4932.YBL082C
P38042	4932.YBL084C
P38041	4932.YBL085W
P38177	4932.YBL086C
P38175	4932.YBL090W
P38174	4932.YBL091C
Q6Q595	4932.YBL091C-A
P25046	4932.YBL093C
P38172	4932.YBL095W
P38170	4932.YBL097W
P38169	4932.YBL098W
P38167	4932.YBL101C
P38165	4932.YBL103C
P38162	4932.YBL107C
P38161	4932.YBL108W
P35172	4932.YBR001C
P18900	4932.YBR003W
