;Aliser_050n;Azacyt_1.5u;AZD148_005u;AZD818_050u;Bafilo_1.2n;BGJ398_007u;BMS536_002u;Bortez_020n;Bortez_020n.1;Caboza_010u;Capiva_050u;Carbop_007u;CCT020_003u;CCT196_001u;CCT196_001u.1;CGP573_010u;Chloro_040u;Cispla_250n;Cispla_500n;Compou_008u;Crizot_002u;Defero_007u;Doxoru_080n;eFT508_025u;Erasti_015u;Ferros_060u;Gefiti_002u;Gefiti_002u.1;Ibudil_400u;IMR1._080u;JSH23_060u;L75550_025u;Lazert_001u;Lenvat_040u;Levofl_250u;LGK974_005u;LIMKi3_030u;LY3009_003u;LY3009_003u.1;Mavele_001u;Mefloq_010u;Methot_040n;MG132z_510n;Mitomy_002x;ML210._030u;NaButy_002m;NAcety_015m;Napabu_001u;Navito_006u;Nigeri_100n;Nutlin_025u;Olapar_020u;Osimer_001u;Osimer_005u;Osimer_020n;Osimer_100n;Osimer_100n.1;Osimer_100n.2;Osimer_100n.3;OsiSor_015u;Oxalip_005u;Paclit_005n;Palboc_010u;Pemetr_080n;Pemetr_100n;Pemetr_100n.1;Phenfo_050u;phenyl_002m;Plurip_010u;Pralat_003n;Proben_500u;PROTAC_010u;RAF265_005u;Regora_010u;Rocile_001u;S63845_010u;Saraca_500n;SBI020_005u;SHP099_050u;Sorafe_005u;Sorafe_005u.1;Sotora_035u;Spauti_007u;statti_007u;STO609_030u;Suniti_015u;TAE684_001u;Tazeme_040u;Temps0_000u;Temps0_000u.1;Temps0_000u.2;Temps0_000u.3;Temps0_000u.4;Temps0_000u.5;Temps0_000u.6;Temps0_000u.7;Temps0_000u.8;Temps0_000u.9;Temsir_006u;Thapsi_008n;THZ1_090n;Tramet_030n;Tramet_030n.1;Tramet_040n;Tricho_110n;Trimet_600u;Tunica_0.5x;U0126E_030u;Vemura_007u;Vorino_002u;WZ4002_001u;X13271_005u;X13271_005u.1;X13271_008u;X13271_008u.1;X13271_009u;X15681_050u;X17129_008u;X17129_008u.1;XAV939_080u;Y27632_300u
25;2.20814052837144;NA;NA;NA;NA;1.90886828928037;NA;NA;NA;-1.04095327451396;1.31175328330675;NA;NA;NA;NA;NA;1.83767684003981;-2.56405573048417;NA;NA;NA;NA;NA;NA;-1.04874924785268;NA;NA;NA;NA;4.9717232697213;NA;NA;2.00401324864893;NA;NA;NA;NA;NA;NA;1.56542274289627;NA;-3.48629108727826;NA;NA;NA;NA;NA;NA;NA;NA;1.37200462729763;NA;2.13584716034428;1.86655418005322;1.34729722227084;NA;NA;NA;NA;NA;-1.00433660032004;NA;2.75973154831114;NA;NA;NA;NA;NA;NA;NA;NA;-1.5475681152039;NA;NA;1.70439414017078;-1.81317348782399;NA;NA;NA;-2.84078706012074;-2.84078706012074;1.07042668449228;NA;NA;NA;2.3939226519087;-1.34162409280309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.53397971243121;-2.0475363975593;2.50383671583469;2.50383671583469;1.85444632049731;NA;NA;-1.01534593168951;NA;NA;-1.79926903656823;1.74803819946674;NA;NA;NA;NA;NA;NA;1.27850074791032;1.27850074791032;NA;-3.47887620275617
26;1.36670062901488;NA;NA;NA;NA;2.12577511192111;NA;-2.10973751460219;-2.10973751460219;NA;3.19204650703728;1.41370762939469;NA;NA;NA;NA;2.28344702770727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.49722477832971;4.74638425473593;NA;NA;1.67824798987808;1.7931466479351;NA;NA;NA;NA;NA;1.88062633950837;-1.23863844874594;NA;-1.4176453511803;NA;NA;NA;NA;NA;NA;NA;1.59208113763984;NA;2.38317263845275;2.4446463957396;1.27670439367012;NA;NA;NA;NA;NA;NA;NA;2.6921571739644;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.53701684663232;NA;1.31770184984124;NA;NA;NA;NA;NA;NA;1.78826959316924;NA;NA;NA;2.38116910951369;NA;NA;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;-4.61863311453195;NA;-2.70655757339436;-2.85277206552171;1.5584231223551;1.5584231223551;1.09527728872999;-1.7253171384504;NA;NA;NA;1.42765929209887;-1.11898384463587;NA;NA;NA;NA;NA;1.52545374445447;NA;1.37451975965949;1.37451975965949;NA;NA
27;1.88407901184291;NA;NA;NA;NA;2.14141752410277;NA;-1.86095768079346;-1.86095768079346;NA;2.93525208092228;1.13221486453049;NA;NA;NA;NA;2.15591673334104;NA;1.33445334287082;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.28092036915222;4.72521641485931;NA;-2.16902567714235;1.3349651374411;1.45876253902216;NA;NA;NA;NA;NA;1.47194910870738;NA;NA;NA;1.27260826427887;NA;NA;NA;NA;1.20032814078038;NA;1.62342775704182;1.02954140707935;2.82768818596108;2.8679678884887;NA;NA;NA;NA;NA;NA;NA;NA;2.74638530155034;NA;1.45208879257261;1.45208879257261;NA;NA;NA;NA;NA;NA;-1.46091191962029;NA;NA;NA;NA;NA;NA;-1.21353286676651;-1.21353286676651;1.73194985582996;NA;NA;NA;1.86137642480237;NA;NA;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;-5.0811671933239;NA;-1.82987481457656;-2.23548387480412;1.81855529146042;1.81855529146042;NA;NA;NA;NA;NA;1.26454414379516;-1.32360931440805;NA;NA;NA;NA;NA;1.44157193080944;NA;1.91212249548374;1.91212249548374;NA;NA
28;1.83369983047966;NA;1.67825097196395;1.11120164064889;NA;1.6838304627157;NA;5.85266672863001;5.85266672863001;2.16917337648054;NA;1.55362059316477;NA;NA;NA;1.03832602372025;3.13814365137738;NA;NA;NA;2.91802664512715;NA;NA;NA;NA;1.30924413380239;2.06007202088077;2.06007202088077;2.59202574843338;-5.40225032649978;NA;1.4430479027202;2.9141065954911;2.20338944169117;NA;NA;1.60214020081539;1.33571820825182;1.33571820825182;2.51500972253202;1.42904959735042;2.83410276625628;5.17776013668778;NA;NA;NA;NA;NA;NA;NA;1.59899964701418;1.79178488196607;3.19968031434252;4.06488562739508;2.24012737331478;2.53575874631725;2.53575874631725;2.53575874631725;2.53575874631725;NA;NA;NA;2.14171455960156;4.47092080823877;4.67496921620416;4.67496921620416;NA;NA;NA;2.17358473476279;NA;4.71560082847559;NA;NA;2.23384561602641;1.9084644573586;2.39366927352786;3.56333926736942;NA;NA;NA;3.64229217219768;1.66794867455677;1.47514875563537;NA;NA;3.46203041037552;2.4212586073811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.00494101698773;-1.32429664399934;1.83759519471086;1.83759519471086;2.08893701433549;1.60079104513101;1.90148746063333;2.31480349449623;NA;2.3035146110064;NA;2.77636528242708;NA;NA;1.12081843216594;1.12081843216594;1.85687926849896;1.07311168044488;1.40749749530792;1.40749749530792;-1.01760265995732;1.11544031529112
35;2.87808720568924;NA;NA;NA;2.30533355164983;2.32370065978707;NA;NA;NA;NA;3.71278361108479;1.15700518748951;NA;-1.2111489255679;-1.2111489255679;NA;2.35624334734904;NA;NA;NA;1.01998586652541;NA;NA;NA;-1.01368157345066;NA;NA;NA;1.59558600015073;4.99291844159051;1.29967546446252;NA;1.78165820760777;1.74446192191085;NA;NA;NA;1.19614614093542;1.19614614093542;1.69539287934977;NA;-1.32097373733113;NA;1.06946715597293;NA;NA;NA;NA;1.2073843758165;NA;1.46754763178315;NA;2.60497067153329;2.64116967159571;NA;NA;NA;NA;NA;NA;NA;NA;2.78706715362337;NA;NA;NA;NA;NA;NA;-2.48267677833299;NA;NA;-1.59981201297786;NA;1.08824063471441;NA;NA;NA;NA;-1.31017958610475;-1.31017958610475;1.89092668654184;NA;NA;NA;2.32797968632062;NA;NA;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;-4.48137112512867;NA;-2.6499383014339;NA;1.31718010261636;1.31718010261636;1.17893252819325;NA;NA;NA;NA;NA;-1.58148145269986;1.24557906584083;NA;NA;NA;NA;1.35904891630006;NA;1.74086169844125;1.74086169844125;NA;NA
37;1.4067419384802;NA;NA;1.07319877109609;2.9743743986923;1.31133474501253;1.56654354791535;4.8682455368649;4.8682455368649;1.80120217301843;NA;1.21708923785172;NA;NA;NA;1.24011778245406;1.82390904886661;1.05917539669805;3.5700871331223;1.41363745857989;3.13184116741186;NA;NA;NA;NA;1.42392852129378;1.44997943300983;1.44997943300983;2.25631547511079;-2.9781698238039;NA;NA;2.75009592564988;3.32068714668377;NA;NA;1.70622383487304;NA;NA;2.72273787334356;1.61049276175215;2.31815254190033;4.11370743478273;4.30199171551143;NA;2.16146402774865;NA;NA;NA;NA;1.186995258245;2.70203195914531;3.84220512866256;4.22261960349762;2.50425118608521;2.02433421251187;2.02433421251187;2.02433421251187;2.02433421251187;NA;NA;NA;2.46310515400711;3.05263431000085;3.32022007772511;3.32022007772511;NA;NA;NA;1.3852470617029;NA;5.70754670518769;NA;NA;2.60684518929587;1.5991820003753;2.47418377813548;3.4833203467114;NA;NA;NA;2.86758476371344;1.31250849513638;NA;NA;-1.6243146184084;3.17474712674046;2.80155447385788;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;-4.36137906485224;NA;2.63092080305125;-1.06539654391187;1.01466257968036;1.01466257968036;NA;2.91436447079053;NA;2.55554847611616;1.3362545012758;3.22358128884919;NA;2.33246452452637;NA;NA;NA;NA;1.05290239004444;NA;1.23253101071337;1.23253101071337;NA;1.63138021074409
39;1.86177241646713;NA;NA;NA;1.49936749329287;2.41335736312978;NA;-1.71930028648134;-1.71930028648134;NA;2.89345950917943;NA;NA;NA;NA;NA;3.6361117635085;NA;1.37471115527953;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.10073957146875;5.0748855871935;NA;-2.64323021941353;1.93994398407102;1.48884513703982;NA;NA;NA;NA;NA;1.50769208096636;NA;NA;-2.96431708302533;1.10656813312901;NA;NA;NA;NA;NA;NA;1.67903732459027;1.07891322790351;3.14535993260646;2.92523105743788;1.64233416701039;NA;NA;NA;NA;NA;NA;NA;3.38569638205822;NA;1.42226631566194;1.42226631566194;NA;NA;NA;NA;NA;NA;-1.60196741709482;NA;1.01433148450013;NA;NA;NA;NA;NA;NA;2.35807164644226;NA;NA;NA;2.89156844191964;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.33406972855329;NA;1.55838704145504;1.55838704145504;1.00300854357911;NA;NA;-1.09729779265204;NA;1.08424553593976;-1.12839281844381;1.09381723149382;NA;NA;NA;NA;1.58872136296109;NA;1.75501876334395;1.75501876334395;NA;NA
63;2.46335895401421;NA;NA;NA;NA;2.5320768480065;NA;NA;NA;NA;3.26578523701757;NA;NA;-1.27160950814521;-1.27160950814521;NA;3.08359963302346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.33048497048204;4.63199872256259;1.33410694273935;NA;2.48312291526249;1.11517558196116;NA;NA;NA;NA;NA;1.89152386919809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.53934706385257;NA;3.23954229452863;2.8791739201761;1.35962983957407;NA;NA;NA;NA;NA;NA;NA;2.87372683106617;NA;1.32782152217928;1.32782152217928;NA;NA;NA;NA;NA;NA;-1.56734811908306;NA;1.55537611912409;-1.35690476644474;NA;NA;NA;-2.45332849093327;-2.45332849093327;1.99609936783651;NA;NA;NA;2.43915978361552;NA;NA;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;-1.03153591077207;NA;-3.09258561954444;-1.97570498668275;1.51120972569257;1.51120972569257;NA;NA;NA;NA;NA;1.4228474162634;-1.27732523291959;1.27353058769556;NA;NA;NA;NA;1.3707291249296;NA;1.84179986221067;1.84179986221067;NA;NA
77;1.76496166792504;NA;NA;NA;NA;2.53101441227069;NA;-1.831899558219;-1.831899558219;NA;2.42051158732805;NA;NA;-1.78032296216852;-1.78032296216852;NA;3.32615827890264;-1.64017614743699;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.77365321998315;3.87883748405465;NA;NA;2.54140468224457;NA;NA;NA;NA;NA;NA;2.03693085466671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69294942241172;NA;2.49420051550231;2.57147715401491;NA;NA;NA;NA;NA;NA;NA;NA;2.96135508777766;NA;1.08180131495632;1.08180131495632;NA;NA;NA;NA;NA;1.2491480278622;-1.10635392973312;-1.61751353482999;1.50492137019367;NA;NA;NA;NA;-2.04971483489952;-2.04971483489952;1.69344510399635;NA;NA;NA;2.76004941128897;NA;NA;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;-1.36667377263494;NA;-4.63584367604919;-1.41510345320303;NA;NA;NA;NA;NA;NA;NA;1.41460457029143;-1.23174292820103;1.58885773771267;NA;NA;NA;NA;1.42386711012582;NA;1.11836182474662;1.11836182474662;NA;NA
91;1.6429806891791;NA;1.31184281469839;NA;NA;NA;NA;3.63796141286212;3.63796141286212;1.33449863142293;NA;NA;NA;-1.2663286945566;-1.2663286945566;NA;-1.70523097630137;-1.9940373444458;1.23728747443549;NA;1.75157150316748;1.11413351173373;NA;NA;NA;NA;3.37533392990942;3.37533392990942;1.53567118069061;NA;NA;-1.66565997885887;4.43411904206827;1.24728133724498;NA;NA;NA;1.84462315137144;1.84462315137144;4.4016747732045;NA;NA;2.51294678242795;NA;NA;1.87498944137582;-1.90441893606906;NA;-2.48576918857036;NA;NA;NA;5.14689693199464;4.11552362281132;2.8907078786935;3.56156066427993;3.56156066427993;3.56156066427993;3.56156066427993;NA;NA;NA;2.762399450387;1.36193394638328;2.39725752334516;2.39725752334516;NA;NA;NA;NA;NA;7.01921736252439;NA;-1.39478049682849;3.84023231825594;NA;2.17116517212477;NA;NA;NA;NA;4.31920212806775;NA;NA;-1.03926153897323;-3.00574560081087;1.44518544378883;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.60296362440956;2.60296362440956;2.17311695887294;3.37774090396326;NA;NA;NA;3.5919735741565;NA;4.12997529224998;NA;NA;NA;NA;1.94425927645836;1.36818790932034;1.68461976630902;1.68461976630902;NA;NA
