string_id	fasta_id
4932.Q0045	sp|P00401|COX1_YEAST
4932.Q0085	sp|P00854|ATP6_YEAST
4932.Q0105	sp|P03879|MBI4_YEAST
4932.Q0110	sp|Q9ZZW7|MBI3_YEAST
4932.Q0115	sp|Q9ZZW7|MBI3_YEAST
4932.Q0120	sp|Q9ZZW7|MBI3_YEAST
4932.Q0130	sp|P61829|ATP9_YEAST
4932.Q0140	sp|P02381|RMAR_YEAST
4932.Q0250	sp|P00410|COX2_YEAST
4932.R0020C	sp|P03871|REP1_YEAST
4932.R0030W	sp|Q06891|RAF_YEAST
4932.R0040C	sp|P03872|REP2_YEAST
4932.YAL001C	sp|P34111|TFC3_YEAST
4932.YAL002W	sp|P39702|VPS8_YEAST
4932.YAL003W	sp|P32471|EF1B_YEAST
4932.YAL005C	sp|P10592|HSP72_YEAST
4932.YLL024C	sp|P10592|HSP72_YEAST
4932.YAL007C	sp|P39704|ERP2_YEAST
4932.YAL008W	sp|P18411|FUN14_YEAST
4932.YAL010C	sp|P18409|MDM10_YEAST
4932.YAL011W	sp|P31376|SWC3_YEAST
4932.YAL012W	sp|P31373|CYS3_YEAST
4932.YAL013W	sp|P31385|DEP1_YEAST
4932.YAL015C	sp|P31378|NTG1_YEAST
4932.YAL016W	sp|P31383|2AAA_YEAST
4932.YAL017W	sp|P31374|PSK1_YEAST
4932.YAL019W	sp|P31380|FUN30_YEAST
4932.YAL020C	sp|P31386|ATS1_YEAST
4932.YAL021C	sp|P31384|CCR4_YEAST
4932.YAL022C	sp|P31381|FUN26_YEAST
4932.YAL023C	sp|P31382|PMT2_YEAST
4932.YAL024C	sp|P07866|LTE1_YEAST
4932.YAL025C	sp|P10962|MAK16_YEAST
4932.YAL026C	sp|P39524|ATC3_YEAST
4932.YAL027W	sp|P39735|SAW1_YEAST
4932.YAL029C	sp|P32492|MYO4_YEAST
4932.YAL030W	sp|P31109|SNC1_YEAST
4932.YAL033W	sp|P28005|POP5_YEAST
4932.YAL034W-A	sp|P39731|MTW1_YEAST
4932.YAL035W	sp|P39730|IF2P_YEAST
4932.YAL036C	sp|P39729|RBG1_YEAST
4932.YAL038W	sp|P00549|KPYK1_YEAST
4932.YAL039C	sp|P06182|CCHL_YEAST
4932.YAL041W	sp|P11433|CDC24_YEAST
4932.YAL042W	sp|P39727|ERV46_YEAST
4932.YAL043C	sp|Q01329|PTA1_YEAST
4932.YAL044C	sp|P39726|GCSH_YEAST
4932.YAL044W-A	sp|Q3E793|YA044_YEAST
4932.YAL046C	sp|P39724|AIM1_YEAST
4932.YAL047C	sp|P39723|SPC72_YEAST
4932.YAL048C	sp|P39722|GEM1_YEAST
4932.YAL049C	sp|P39721|AIM2_YEAST
4932.YAL051W	sp|P39720|OAF1_YEAST
4932.YAL053W	sp|P39719|FLC2_YEAST
4932.YAL054C	sp|Q01574|ACS1_YEAST
4932.YAL055W	sp|P39718|PEX22_YEAST
4932.YAL058W	sp|P27825|CALX_YEAST
4932.YAL059W	sp|P39715|ECM1_YEAST
4932.YAL060W	sp|P39714|BDH1_YEAST
4932.YAL061W	sp|P39713|BDH2_YEAST
4932.YAL062W	sp|P39708|DHE5_YEAST
4932.YAR002C-A	sp|Q05359|ERP1_YEAST
4932.YAR002W	sp|P39705|NUP60_YEAST
4932.YAR007C	sp|P22336|RFA1_YEAST
4932.YAR014C	sp|P27637|BUD14_YEAST
4932.YAR015W	sp|P27616|PUR7_YEAST
4932.YAR018C	sp|P22209|KIN3_YEAST
4932.YAR019C	sp|P27636|CDC15_YEAST
4932.YAR027W	sp|P39547|UIP3_YEAST
4932.YAR028W	sp|P39548|YAJ8_YEAST
4932.YAR031W	sp|P39551|PRM9_YEAST
4932.YAR035W	sp|P80235|CACM_YEAST
4932.YAR042W	sp|P35845|OSH1_YEAST
4932.YAR071W	sp|P38693|PPAC_YEAST
4932.YHR215W	sp|P38693|PPAC_YEAST
4932.YAR073W	sp|P50095|IMDH3_YEAST
4932.YHR216W	sp|P50095|IMDH3_YEAST
4932.YLR432W	sp|P50095|IMDH3_YEAST
4932.YAR075W	sp|P50094|IMDH4_YEAST
4932.YML056C	sp|P50094|IMDH4_YEAST
4932.YBL001C	sp|P35195|ECM15_YEAST
4932.YBL002W	sp|P02294|H2B2_YEAST
4932.YDR224C	sp|P02294|H2B2_YEAST
4932.YBL003C	sp|P04912|H2A2_YEAST
4932.YDR225W	sp|P04912|H2A2_YEAST
4932.YBL004W	sp|P35194|UTP20_YEAST
4932.YBL005W-A	sp|Q12266|YB11A_YEAST
4932.YDR170W-A	sp|Q12266|YB11A_YEAST
4932.YMR046C	sp|Q12266|YB11A_YEAST
4932.YBL005W-B	sp|Q12490|YB11B_YEAST
4932.YGR027W-B	sp|Q12490|YB11B_YEAST
4932.YMR045C	sp|Q12490|YB11B_YEAST
4932.YNL284C-B	sp|Q12490|YB11B_YEAST
4932.YBL006C	sp|P38210|LDB7_YEAST
4932.YBL007C	sp|P32790|SLA1_YEAST
4932.YBL008W	sp|P32479|HIR1_YEAST
4932.YBL011W	sp|P32784|GPT1_YEAST
4932.YBL014C	sp|P32786|RRN6_YEAST
4932.YBL015W	sp|P32316|ACH1_YEAST
4932.YBL016W	sp|P16892|FUS3_YEAST
4932.YBL017C	sp|P32319|VPS10_YEAST
4932.YBL019W	sp|P38207|APN2_YEAST
4932.YBL022C	sp|P36775|LONM_YEAST
4932.YBL023C	sp|P29469|MCM2_YEAST
4932.YBL024W	sp|P38205|NCL1_YEAST
4932.YBL025W	sp|P38204|RRN10_YEAST
4932.YBL026W	sp|P38203|LSM2_YEAST
4932.YBL029C-A	sp|Q3E756|YB029_YEAST
4932.YBL030C	sp|P18239|ADT2_YEAST
4932.YBL032W	sp|P38199|HEK2_YEAST
4932.YBL033C	sp|P38066|RIB1_YEAST
4932.YBL034C	sp|P38198|STU1_YEAST
4932.YBL035C	sp|P38121|DPOA2_YEAST
4932.YBL036C	sp|P38197|YBD6_YEAST
4932.YBL037W	sp|P38065|AP2A_YEAST
4932.YBL039C	sp|P28274|URA7_YEAST
4932.YBL039W-B	sp|P0C268|YB39B_YEAST
4932.YBL040C	sp|P18414|ERD2_YEAST
4932.YBL041W	sp|P23724|PSB6_YEAST
4932.YBL042C	sp|P38196|FUI1_YEAST
4932.YBL045C	sp|P07256|QCR1_YEAST
4932.YBL046W	sp|P38193|PP4R2_YEAST
4932.YBL047C	sp|P34216|EDE1_YEAST
4932.YBL050W	sp|P32602|SEC17_YEAST
4932.YBL051C	sp|P34217|PIN4_YEAST
4932.YBL054W	sp|P34219|TOD6_YEAST
4932.YBL055C	sp|P34220|YBF5_YEAST
4932.YBL056W	sp|P34221|PP2C3_YEAST
4932.YBL057C	sp|P34222|PTH2_YEAST
4932.YBL058W	sp|P34223|UBX1_YEAST
4932.YBL059C-A	sp|Q3E7A4|COXM2_YEAST
4932.YBL059W	sp|P34224|YBF9_YEAST
4932.YBL061C	sp|P34226|SKT5_YEAST
4932.YBL064C	sp|P34227|PRX1_YEAST
4932.YBL066C	sp|P34228|SEF1_YEAST
4932.YBL067C	sp|P38187|UBP13_YEAST
4932.YBL068W	sp|P38063|KPR4_YEAST
4932.YBL069W	sp|P35183|AST1_YEAST
4932.YBL075C	sp|P09435|HSP73_YEAST
4932.YBL076C	sp|P09436|SYIC_YEAST
4932.YBL078C	sp|P38182|ATG8_YEAST
4932.YBL079W	sp|P38181|NU170_YEAST
4932.YBL082C	sp|P38179|ALG3_YEAST
4932.YBL084C	sp|P38042|CDC27_YEAST
4932.YBL085W	sp|P38041|BOB1_YEAST
4932.YBL086C	sp|P38177|YBI6_YEAST
4932.YBL090W	sp|P38175|RT21_YEAST
4932.YBL091C	sp|P38174|MAP2_YEAST
4932.YBL092W	sp|P38061|RL32_YEAST
4932.YBL093C	sp|P25046|MED19_YEAST
4932.YBL095W	sp|P38172|YBJ5_YEAST
4932.YBL097W	sp|P38170|CND2_YEAST
4932.YBL098W	sp|P38169|KMO_YEAST
4932.YBL099W	sp|P07251|ATPA_YEAST
4932.YBL100W-A	sp|Q99195|YF21A_YEAST
4932.YBL100W-B	sp|Q12503|YG22B_YEAST
4932.YCL019W	sp|Q12503|YG22B_YEAST
4932.YDR034C-D	sp|Q12503|YG22B_YEAST
4932.YDR210W-B	sp|Q12503|YG22B_YEAST
4932.YDR261W-B	sp|Q12503|YG22B_YEAST
4932.YGR161W-B	sp|Q12503|YG22B_YEAST
4932.YLR410W-B	sp|Q12503|YG22B_YEAST
4932.YOR192C-B	sp|Q12503|YG22B_YEAST
4932.YOR343W-B	sp|Q12503|YG22B_YEAST
4932.YBL101C	sp|P38167|ECM21_YEAST
4932.YBL102W	sp|P38166|SFT2_YEAST
4932.YBL103C	sp|P38165|RTG3_YEAST
4932.YBL104C	sp|P38164|SEA4_YEAST
4932.YBL105C	sp|P24583|KPC1_YEAST
4932.YBL111C	sp|Q3E7Y5|YB111_YEAST
4932.YBL113C	sp|Q7M4S9|YB113_YEAST
4932.YBR001C	sp|P35172|TREB_YEAST
4932.YBR002C	sp|P35196|RER2_YEAST
4932.YBR003W	sp|P18900|COQ1_YEAST
4932.YBR005W	sp|P38212|RCR1_YEAST
4932.YBR006W	sp|P38067|UGA2_YEAST
4932.YBR011C	sp|P00817|IPYR_YEAST
