string_id	all amino-acids	SUM(r_k*ln(r_k)) --> -H(amino-acids)	SUM(r_k*e_k)	ln(p)	cost_protein (5*n(aa))	decay	protein term (cost protein * decay)
4932.YAL007C	215.0	-2.78789363356	123.451162791	-9.33507585245	1075.0	49	52675.0
4932.YAL008W	198.0	-2.7612149849	129.373737374	-12.464030912	990.0	26	25740.0
4932.YAL010C	493.0	-2.80786448239	142.535496957	-13.1703985062	2465.0	43	105995.0
4932.YAL011W	625.0	-2.79790905149	139.0256	-10.8269761865	3125.0	56	175000.0
4932.YAL016W	635.0	-2.78027970132	118.366929134	-7.99554998687	3175.0	180	571500.0
4932.YAL017W	1356.0	-2.83660050828	129.837758112	-10.3536369428	6780.0	3	20340.0
4932.YAL019W	1131.0	-2.83320011357	131.541998232	-9.53401340448	5655.0	28	158340.0
4932.YAL021C	837.0	-2.87930139321	145.091995221	-9.28474974263	4185.0	224	937440.0
4932.YAL022C	517.0	-2.84981183931	133.78336557	-11.676040964	2585.0	3	7755.0
4932.YAL023C	759.0	-2.91711203628	161.375494071	-8.91199089473	3795.0	61	231495.0
4932.YAL024C	1435.0	-2.80296822899	132.336585366	-13.1807855243	7175.0	144	1033200.0
4932.YAL026C	1355.0	-2.88459660577	135.790405904	-8.99524229688	6775.0	20	135500.0
4932.YAL027W	261.0	-2.81892937799	130.712643678	-13.5735026988	1305.0	36	46980.0
4932.YAL033W	173.0	-2.77974202601	136.953757226	-10.4158667651	865.0	47	40655.0
4932.YAL034W-A	289.0	-2.70465244112	121.242214533	-11.1843060626	1445.0	-599	-865555.0
4932.YAL035W	1002.0	-2.7657694585	122.003992016	-6.47537139013	5010.0	321	1608210.0
4932.YAL036C	369.0	-2.82665919711	120.533875339	-8.71419470646	1845.0	57	105165.0
4932.YAL039C	269.0	-2.87823452565	153.412639405	-11.7457275123	1345.0	2	2690.0
4932.YAL041W	854.0	-2.79872540779	137.427400469	-9.74148853007	4270.0	73	311710.0
4932.YAL046C	118.0	-2.83013021099	159.86440678	-13.6662399802	590.0	115997	68438230.0
4932.YAL047C	622.0	-2.69922472224	127.557877814	-11.9891973005	3110.0	-191	-594010.0
4932.YAL049C	246.0	-2.8444113724	135.394308943	-10.9114790616	1230.0	560	688800.0
4932.YAL053W	783.0	-2.81999500327	126.570881226	-10.853656975	3915.0	29	113535.0
4932.YAL054C	713.0	-2.87974501706	134.7713885	-10.6373255577	3565.0	29	103385.0
4932.YAL055W	180.0	-2.85284588189	138.855555556	-12.6802169095	900.0	70	63000.0
4932.YAL058W	502.0	-2.90412525469	146.766932271	-12.4083077058	2510.0	71	178210.0
4932.YAL059W	212.0	-2.69233237292	117.509433962	-10.8518055204	1060.0	36	38160.0
4932.YAL060W	382.0	-2.86688284108	149.447643979	-8.40321902208	1910.0	68	129880.0
4932.YAR002C-A	219.0	-2.85598218919	149.296803653	-9.14132872641	1095.0	33	36135.0
4932.YAR002W	539.0	-2.71658133942	113.756957328	-9.76927758343	2695.0	15	40425.0
4932.YAR007C	621.0	-2.86993985187	131.719806763	-8.83702762306	3105.0	35	108675.0
4932.YAR014C	707.0	-2.78386464599	128.311173975	-9.54673078206	3535.0	29	102515.0
4932.YAR015W	306.0	-2.83261521095	130.640522876	-7.90425372298	1530.0	77	117810.0
4932.YAR019C	974.0	-2.84461615286	139.127310062	-10.951027391	4870.0	109	530830.0
4932.YAR028W	234.0	-2.87846550725	149.354700855	-11.6059905733	1170.0	62	72540.0
4932.YAR031W	298.0	-2.8927829382	156.409395973	-14.3229612961	1490.0	104	154960.0
4932.YAR071W	467.0	-2.89084501888	149.130620985	-9.78004449219	2335.0	10	23350.0
4932.YBL001C	104.0	-2.797941363	146.519230769	-11.7145918602	520.0	124	64480.0
4932.YBL002W	131.0	-2.64039582528	118.679389313	-7.19387436086	655.0	-1503	-984465.0
4932.YBL003C	132.0	-2.66400572846	101.128787879	-7.7397090532	660.0	167	110220.0
4932.YBL007C	1244.0	-2.84793012829	123.808681672	-7.55512269305	6220.0	41	255020.0
